county,total_votes,rep_votes,dem_votes,rep_percentage,dem_percentage,Party
"Allenstown, New Hampshire",2325,1233,1050,0.5303225806451612,0.45161290322580644,0
"Alna, Maine",517,174,320,0.3365570599613153,0.6189555125725339,1
"Alpena County, Michigan",16969,10686,6000,0.6297365784666156,0.3535859508515528,0
"Alpine County, California",741,244,476,0.3292847503373819,0.6423751686909581,1
"Alstead, New Hampshire",1189,477,684,0.40117746005046256,0.575273338940286,1
"Alton, Maine",476,293,169,0.615546218487395,0.3550420168067227,0
"Alton, New Hampshire",3903,2420,1438,0.62003586984371,0.3684345375352293,0
"Amador County, California",22302,13585,8153,0.6091381938839566,0.3655725943861537,0
"Amelia County, Virginia",7893,5390,2411,0.6828835677182313,0.3054605346509565,0
"Amesbury, Massachusetts",10395,3326,6786,0.31996151996151995,0.6528138528138528,1
"Amherst County, Virginia",17005,11041,5672,0.6492796236401058,0.3335489561893561,0
"Amherst, Maine",189,115,64,0.6084656084656085,0.3386243386243386,0
"Amherst, Massachusetts",11871,873,10718,0.07354056103108415,0.9028725465419931,1
"Amherst, New Hampshire",8137,3208,4796,0.394248494531154,0.5894064151407152,1
"Amite County, Mississippi",7207,4503,2620,0.6248092132648814,0.3635354516442348,0
"Amity, Maine",124,96,27,0.7741935483870968,0.21774193548387097,0
"Anderson County, Kansas",3720,2874,765,0.7725806451612903,0.2056451612903226,0
"Anderson County, Kentucky",13254,9661,3348,0.7289120265580202,0.2526029877772748,0
"Anderson County, South Carolina",96093,67565,27169,0.7031209349276222,0.28273651566711416,0
"Anderson County, Tennessee",35570,23184,11741,0.6517852122575204,0.3300815293786899,0
"Anderson County, Texas",19227,15110,3955,0.7858740313101368,0.20570031726218338,0
"Andover, Connecticut",2091,998,1058,0.47728359636537543,0.5059780009564802,1
"Andover, Maine",538,293,223,0.5446096654275093,0.4144981412639405,0
"Andover, Massachusetts",21743,6693,14503,0.3078232074690705,0.6670192705698386,1
"Andover, New Hampshire",1595,726,844,0.45517241379310347,0.529153605015674,1
"Andover, Vermont",365,132,216,0.36164383561643837,0.5917808219178082,1
"Andrew County, Missouri",9752,7255,2351,0.7439499589827727,0.24107875307629203,0
"Andrews County, Texas",5863,4943,850,0.8430837455227699,0.14497697424526693,0
"Angelina County, Texas",34574,25076,9143,0.7252848961647481,0.26444727251692024,0
"Anne Arundel County, Maryland",309617,127821,172823,0.412835858496142,0.5581831746964798,1
"Anoka County, Minnesota",211132,104902,100893,0.49685504802682684,0.4778669268514484,0
"Anson County, North Carolina",11194,5321,5789,0.4753439342504913,0.5171520457387886,1
"Anson, Maine",1223,796,398,0.6508585445625511,0.32542927228127555,0
"Ansonia, Connecticut",8419,3797,4521,0.45100368214752345,0.5369996436631429,1
"Antelope County, Nebraska",3583,3093,452,0.8632430923806865,0.12615126988557074,0
"Antrim County, Michigan",15949,9748,5960,0.6111981942441532,0.37369114051037683,0
"Antrim, New Hampshire",1584,779,761,0.4917929292929293,0.48042929292929293,0
"Apache County, Arizona",35183,11442,23293,0.32521388170423216,0.662052695904272,1
"Appanoose County, Iowa",6516,4512,1891,0.6924493554327809,0.2902087170042971,0
"Appleton, Maine",915,407,478,0.4448087431693989,0.5224043715846994,1
"Appling County, Georgia",8390,6570,1784,0.7830750893921334,0.21263408820023838,0
"Appomattox County, Virginia",9268,6702,2418,0.7231333621061717,0.26089771255934396,0
"Aquinnah, Massachusetts",355,34,311,0.09577464788732394,0.8760563380281691,1
"Aransas County, Texas",12290,9239,2916,0.7517493897477624,0.2372660699755899,0
"Arapahoe County, Colorado",350183,127323,213607,0.36358989442662837,0.60998677834161,1
"Archer County, Texas",4796,4300,446,0.896580483736447,0.09299416180150125,0
"Archuleta County, Colorado",9144,5189,3738,0.5674759405074365,0.40879265091863515,0
"Arenac County, Michigan",8831,5928,2774,0.6712716566640244,0.31412071113124224,0
"Arkansas County, Arkansas",6292,4304,1818,0.684043229497775,0.28893833439287986,0
"Arlington County, Virginia",130699,22318,105344,0.17075876632567963,0.8060046366077782,1
"Arlington, Massachusetts",28551,4381,23671,0.15344471296977338,0.8290777906202935,1
"Arlington, Vermont",1485,511,929,0.3441077441077441,0.6255892255892256,1
"Armstrong County, Pennsylvania",36370,27489,8457,0.7558152323343414,0.2325268078086335,0
"Armstrong County, Texas",1112,1035,75,0.9307553956834532,0.06744604316546762,0
"Aroostook Cty Townships, Maine",292,150,141,0.5136986301369864,0.4828767123287671,0
"Arrowsic, Maine",373,104,260,0.27882037533512066,0.6970509383378016,1
"Arthur County, Nebraska",285,260,21,0.9122807017543859,0.07368421052631578,0
"Arundel, Maine",2825,1347,1405,0.4768141592920354,0.49734513274336284,1
"Ascension Parish, Louisiana",62325,40687,20399,0.6528198957079824,0.32730044123545926,0
"Ashburnham, Massachusetts",3827,1667,2030,0.4355892343872485,0.5304415991638359,1
"Ashby, Massachusetts",2023,1008,956,0.4982698961937716,0.4725654967869501,0
"Ashe County, North Carolina",15814,11451,4164,0.7241052232199318,0.26331099026179333,0
"Ashfield, Massachusetts",1218,180,993,0.1477832512315271,0.8152709359605911,1
"Ashford, Connecticut",2544,1160,1330,0.4559748427672956,0.5227987421383647,1
"Ashland County, Ohio",26405,19407,6541,0.7349744366597235,0.24771823518273053,0
"Ashland County, Wisconsin",8757,3841,4801,0.438620532145712,0.5482471165924403,1
"Ashland, Maine",615,376,231,0.6113821138211382,0.375609756097561,0
"Ashland, Massachusetts",10444,2936,7308,0.281118345461509,0.6997319034852547,1
"Ashland, New Hampshire",1218,562,632,0.4614121510673235,0.5188834154351396,1
"Ashley County, Arkansas",7926,5548,2125,0.6999747665909665,0.2681049709815796,0
"Ashtabula County, Ohio",44147,26890,16497,0.6091014111944186,0.3736833759938388,0
"Asotin County, Washington",11951,7319,4250,0.6124173709313028,0.35561877667140823,0
"Assumption Parish, Louisiana",11235,7271,3833,0.6471740097908322,0.34116599910992434,0
"Atascosa County, Texas",18118,12039,5876,0.6644773153769732,0.3243183574345954,0
"Atchison County, Kansas",7312,4826,2314,0.6600109409190372,0.3164660831509847,0
"Atchison County, Missouri",2814,2199,564,0.7814498933901919,0.20042643923240938,0
"Athens County, Ohio",26059,10862,14772,0.4168233623700065,0.5668674929966614,1
"Athens, Maine",510,332,167,0.6509803921568628,0.32745098039215687,0
"Athens, Vermont",214,84,120,0.3925233644859813,0.5607476635514018,1
"Athol, Massachusetts",5502,2579,2705,0.4687386404943657,0.4916394038531443,1
"Atkinson County, Georgia",3155,2300,825,0.7290015847860539,0.26148969889064977,0
"Atkinson, Maine",173,122,49,0.7052023121387283,0.2832369942196532,0
"Atkinson, New Hampshire",5104,2795,2250,0.5476097178683386,0.4408307210031348,0
"Atlantic County, New Jersey",140441,64438,73808,0.45882612627366653,0.5255445347156457,1
"Atoka County, Oklahoma",5389,4557,765,0.8456114306921507,0.14195583596214512,0
"Attala County, Mississippi",8832,5178,3542,0.5862771739130435,0.4010416666666667,0
"Attleboro, Massachusetts",23555,9272,13661,0.3936319252812566,0.5799617915516876,1
"Auburn, Maine",12285,5409,6482,0.4402930402930403,0.5276353276353276,1
"Auburn, Massachusetts",10201,4306,5620,0.42211547887462014,0.5509263797666896,1
"Auburn, New Hampshire",3930,2265,1619,0.5763358778625954,0.4119592875318066,0
"Audrain County, Missouri",10656,7732,2704,0.7256006006006006,0.25375375375375375,0
"Audubon County, Iowa",3420,2295,1071,0.6710526315789473,0.3131578947368421,0
"Auglaize County, Ohio",25777,20798,4651,0.8068433099274547,0.18043216821197192,0
"Augusta County, Virginia",42278,30714,10840,0.7264771275840863,0.2563981266852737,0
"Augusta, Maine",9738,4155,5248,0.42667898952556993,0.5389196960361471,1
